FinalID,FinalIDassigned,Phylum,Class,Order,Family,Genus
Cosmarium sportella var. subnudum,Cosmarium sportella var subnudum,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium sportella var. subnudum W.West et G.S.West,Cosmariumortella var subnudum,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subcostatum,Cosmarium subcostatum,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subcrenatum,Cosmarium subcrenatum,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subcrenatum Hantzsch,Cosmarium subcrenatum,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subtumidum,Cosmarium subtumidum  ,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subtumidum var minutum,Cosmarium subtumidum var minutum,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subtumidum var. minutum,Cosmarium subtumidum var minutum,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium subtumidum var. minutum (Krieg.) Krieg. et Gerloff,Cosmarium subtumidum var minutum,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cosmarium turpinii var podolicum,Cosmarium turpinii var podolicum,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium
Cocconeis placentula var. euglypta (Ehrenberg) Grunow,Cocconeis placentula var euglypta,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis placentula var. lineata (Ehrenberg) Van Heurck,Cocconeis placentula var lineata,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis pseudolineata,Cocconeis pseudolineata,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis pseudothumensis,Cocconeis pseudothumensis,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis rugosa,Cocconeis rugosa,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis scutellum,Cocconeis scutellum,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis scutellum Ehrenberg,Cocconeis scutellum,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis sp 1 CAL,Cocconeis,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cocconeis sp A SWAMP BSL,Cocconeis,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis
Cosmioneis pusilla,Cosmioneis pusilla,Bacillariophyta,Bacillariophyceae,Naviculales,Cosmioneidaceae,Cosmioneis
Craticula,Craticula,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula accomoda,Craticula accomoda,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
"Craticula accomoda (Hustedt) Mann in Round, Crawford & Mann",Craticula accomoda,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula ambigua,Craticula ambigua,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula buderi,Craticula buderi,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula cf buderi,Craticula,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula cuspidata,Craticula cuspidata,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
"Craticula cuspidata (K™tzing) Mann in Round, Crawford & Mann",Craticula cuspidata,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
"Craticula cuspidata (K¸tzing) Mann in Round, Crawford & Mann",Craticula cuspidata,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Crucigenia sp 1,Crucigenia   ,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Crucigenia
Crucigeniella apiculata,Crucigeniella apiculata,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Crucigeniella
Crucigeniella apiculata (Lemmermann) Kom·rek,Crucigeniella apiculata,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Crucigeniella
Crucigeniella cf apiculata,Crucigeniella,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Crucigeniella
Cryptomonadaceae 1,Cryptomonadaceae,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,NA
Cryptomonas,Cryptomonas,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas (palmelloid),Cryptomonas,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas anomala,Cryptomonas anomala,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas anomala F.E. Fritsch,Cryptomonas anomala,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas cf anomala,Cryptomonas,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas cf erosa,Cryptomonas,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas cf ovata,Cryptomonas,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas erosa,Cryptomonas erosa,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas erosa Ehrenb.,Cryptomonas erosa,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas ovata,Cryptomonas ovata,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas sp 1,Cryptomonas,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas sp 2,Cryptomonas,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas sp 3,Cryptomonas,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptomonas sp. 1,Cryptomonas,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas
Cryptophyta 1,Cryptophyta,Cryptophyta,NA,NA,NA,NA
Cryptophyta 1_EcoA,Cryptophyta,Cryptophyta,NA,NA,NA,NA
Cryptophyta 2,Cryptophyta,Cryptophyta,NA,NA,NA,NA
Cryptophyta 3,Cryptophyta,Cryptophyta,NA,NA,NA,NA
Cryptophyta 4,Cryptophyta,Cryptophyta,NA,NA,NA,NA
Cryptophyta 5,Cryptophyta,Cryptophyta,NA,NA,NA,NA
Ctenophora,Ctenophora,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Ctenophora
Ctenophora pulchella,Ctenophora pulchella,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Ctenophora
Cyanobium cf diatomicola,Cyanobium,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Cyanobium
Cyanobium diatomicola,Cyanobium diatomicola,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Cyanobium
"Cyanobium diatomicola (Geitler) Kom·rek, J. Kopeck et V. Cep·k",Cyanobium diatomicola,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Cyanobium
Cyanodermatium cf fluminense,Cyanodermatium,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanodermatium
Cyanodermatium fluminense,Cyanodermatium fluminense,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanodermatium
Cyanophanon cf mirabile,Cyanophanon,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Cyanophanon
Cyanophanon minus,Cyanophanon minus  ,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Cyanophanon
Cyanophanon mirabile,Cyanophanon mirabile,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Cyanophanon
Cyanophyceae 1,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 11,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 12,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 2,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 3,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 4,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 5,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 6,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 7,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 8,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae 9,Cyanophyceae,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanophyceae sp 7,Cyanophyceae   ,Cyanobacteria,Cyanophyceae,NA,NA,NA
Cyanostylon cf microcystoides,Cyanostylon,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanostylon
Cyanostylon microcystoides,Cyanostylon microcystoides,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanostylon
Cyanostylon microcystoides Geitler,Cyanostylon microcystoides,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanostylon
Cyanothece aeruginosa,Cyanothece aeruginosa,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece
Cyanothece aeruginosa (N‰geli) Kom·rek,Cyanothece aeruginosa,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece
Cyanothece cf aeruginosa,Cyanothece,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece
Cyanothece cf halobia,Cyanothece,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece
Cyanothece halobia,Cyanothece halobia,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece
Cyclostephanos,Cyclostephanos,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos costatilimbus,Cyclostephanos costatilimbus,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos damasii,Cyclostephanos damasii,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos dubius,Cyclostephanos dubius,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos invisitatus,Cyclostephanos invisitatus,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos sp A,Cyclostephanos,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclostephanos tholiformis,Cyclostephanos tholiformis,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos
Cyclotella,Cyclotella,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella atomus,Cyclotella atomus,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella atomus Hustedt,Cyclotella atomus,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella bodanica f lemanica,Cyclotella bodanica f lemanica,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella comensis,Cyclotella comensis,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella gamma,Cyclotella gamma,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella hakanssoniae,Cyclotella hakanssoniae,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella meneghiniana,Cyclotella meneghiniana,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella meneghiniana K™tzing,Cyclotella meneghiniana,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella meneghiniana K¸tzing,Cyclotella meneghiniana,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella ocellata,Cyclotella ocellata,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella ocellata Pantocsek,Cyclotella ocellata,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella operculata,Cyclotella operculata,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella rossii,Cyclotella rossii,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella sp 1,Cyclotella,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella sp 1 R6 JPK,Cyclotella,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella sp 2,Cyclotella,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella sp 3,Cyclotella,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella sp A SWAMP KB,Cyclotella,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cyclotella tripartita,Cyclotella tripartita,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclotella
Cylindrocapsa cf geminella,Cylindrocapsa,Chlorophyta,Ulvophyceae,Ulotrichales,Cylindrocapsaceae,Cylindrocapsa
Cylindrocapsa geminella,Cylindrocapsa geminella,Chlorophyta,Ulvophyceae,Ulotrichales,Cylindrocapsaceae,Cylindrocapsa
Cylindrocapsa geminella var minor,Cylindrocapsa geminella var minor,Chlorophyta,Ulvophyceae,Ulotrichales,Cylindrocapsaceae,Cylindrocapsa
Cylindrocapsa geminella var. minor Hansgirg,Cylindrocapsa geminella var minor,Chlorophyta,Ulvophyceae,Ulotrichales,Cylindrocapsaceae,Cylindrocapsa
Cylindrocystis brebissonii,Cylindrocystis brebissonii,Streptophyta,Conjugatophyceae,Zygnematales,Mesotaeniaceae,Cylindrocystis
Cylindrocystis brebissonii var turgida,Cylindrocystis brebissonii var turgida,Streptophyta,Conjugatophyceae,Zygnematales,Mesotaeniaceae,Cylindrocystis
Cylindrospermum cf stagnale,Cylindrospermum,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum licheniforme,Cylindrospermum licheniforme,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum maius,Cylindrospermum majus,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum majus,Cylindrospermum majus,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum sp 1,Cylindrospermum,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum stagnale,Cylindrospermum stagnale,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum stagnale ,Cylindrospermum stagnale,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Cylindrospermum stagnale (K¸tz.) Bornet et Flahault,Cylindrospermum stagnale,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Cylindrospermum
Craticula haliphilioides,Craticula haliphilioides,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula halophila,Craticula halophila,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
"Craticula halophila (Grunow ex Van Heurck) Mann in Round, Crawford & Mann",Craticula halophila,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula halophilioides,Craticula halophilioides,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula minusculoides,Craticula minusculoides,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula minusculoides (Hustedt) Lange-Bertalot,Craticula minusculoides,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula molestiformis,Craticula molestiformis,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula sp 1,Craticula,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Craticula submolesta,Craticula submolesta,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula
Cylindrotheca,Cylindrotheca,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca
Cylindrotheca gracilis,Cylindrotheca gracilis,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca
Cylindrotheca gracilis (BrÈbisson in K¸tzing) Grunow in Van Heurck,Cylindrotheca gracilis,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca
Cymatopleura,Cymatopleura,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura elliptica,Cymatopleura elliptica,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura elliptica (BrÈbisson ex K¸tzing) W. Smith,Cymatopleura elliptica,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura solea,Cymatopleura solea,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymatopleura solea (BrÈbisson in BrÈbisson & Godey) W. Smith,Cymatopleura solea,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae,Cymatopleura
Cymbella,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella affinis,Cymbella affinis,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella affinis K¸tzing,Cymbella affinis,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella aspera,Cymbella aspera,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella austriaca var erdobenyiana,Cymbella austriaca var erdobenyiana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella austriaca var. erdobenyiana (Pantocsek) Krammer in Krammer & Lange-Bertalot,Cymbella austriaca var erdobenyiana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cf affinis SWAMP KB,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cf leptoceras SCCWRP JPK,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cf proxima SWAMP JPK,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cistula,Cymbella cistula,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cistula (Hemprich in Hemprich & Ehrenberg) Kirchner,Cymbella cistula,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cymbiformis,Cymbella cymbiformis,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella cymbiformis var nonpunctata,Cymbella cymbiformis var nonpunctata,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella dorsenotata,Cymbella dorsenotata,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella elginensis,Cymbella elginensis,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella excisa,Cymbella excisa,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella gracilis,Cymbella gracilis,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella helmckei,Cymbella helmckei,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella helvetica,Cymbella helvetica,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella helvetica K¸tzing,Cymbella helvetica,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella heteropleura,Cymbella heteropleura,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella hungarica,Cymbella hungarica,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella hustedtii,Cymbella hustedtii,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella janischii,Cymbella janischii,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella kappii,Cymbella kappii,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella kolbei,Cymbella kolbei,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella laevis,Cymbella laevis,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella laevis N‰geli in K¸tzing,Cymbella laevis,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella lanceolata,Cymbella lanceolata,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella lapponica,Cymbella lapponica,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella lata,Cymbella lata,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella leptoceras,Cymbella leptoceras,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella leptoceras (Ehrenberg) K¸tzing,Cymbella leptoceras,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella mexicana,Cymbella mexicana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella mexicana (Ehrenberg) Cleve,Cymbella mexicana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella neocistula,Cymbella neocistula,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella parva,Cymbella parva,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella proxima,Cymbella proxima,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella reinhardtii,Cymbella reinhardtii,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sp 1 SCCWRP JPK,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sp 1 SWAMP JR,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sp 1 SWAMP KB,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sp 2 CSU,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sp 2 SWAMP KB,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sp 3 SCCWRP JPK,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sp 987 WMPNDS,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sp. 1 SCCWRP JPK,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sp. 3 SCCWRP JPK,Cymbella,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella subhelvetica,Cymbella subhelvetica,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella subturgidula,Cymbella subturgidula,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella sumatrensis,Cymbella sumatrensis,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella tumida,Cymbella tumida,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella tumidula,Cymbella tumidula,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella turgidula,Cymbella turgidula,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbella turgidula Grunow in Schmidt et al.,Cymbella turgidula,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Cymbellaceae,Cymbellaceae,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,NA
Cymbellafalsa diluviana,Cymbellafalsa diluviana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbellafalsa
"Cymbellafalsa diluviana (Krasske) Lange-Bertalot & Metzeltin in Metzeltin, Lange-Bertalot & Nergui",Cymbellafalsa diluviana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbellafalsa
Cymbellales,Cymbellales,Bacillariophyta,Bacillariophyceae,Cymbellales,NA,NA
Cymbellales sp,Cymbellales,Bacillariophyta,Bacillariophyceae,Cymbellales,NA,NA
Cymbellonitzschia diluviana,Cymbellonitzschia diluviana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbellonitzschia
Cymbopleura,Cymbopleura,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura amphicephala,Cymbopleura amphicephala,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura amphicephala (N‰egeli) Krammer,Cymbopleura amphicephala,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura budayana,Cymbopleura budayana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura budayana (Pantocsek) K Krammer,Cymbopleura budayana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura budayana (Pantocsek) K. Krammer,Cymbopleura budayana,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
Cymbopleura cf apiculata,Cymbopleura,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbopleura
