FinalIDassigned,AlgaeList,Habit,BCG,BCG45,BCG12,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TaxonomicGroup,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus1,orig.FinalID
Chrysosphaera,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,OC,,No,,,,Heterokontophyta,Chrysophyceae,Chromulinales,Chrysosphaeraceae,Chrysosphaera,Chrysosphaera cf paludosa
Chrysosphaera paludosa,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,OC,,No,,,,Heterokontophyta,Chrysophyceae,Chromulinales,Chrysosphaeraceae,Chrysosphaera,Chrysosphaera paludosa
Chytridiochloris acus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,OC,,No,,,,Heterokontophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Chytridiochloris ,Chytridiochloris acus
Cladophora,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora cf fracta
Cladophora fracta,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora fracta
Cladophora glomerata,SoftAlgae_2012,,0,,,No,high,high,NRF,high,high,,,,,,,,CL,,No,,Yes,Yes,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,Cladophora glomerata
Clastidium,SoftAlgae_2012,,2,,yes,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Clastidium,Clastidium cf rivulare
Clastidium rivulare,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Clastidium,Clastidium rivulare
Clastidium setigerum,SoftAlgae_2012,,2,,yes,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Clastidium,Clastidium setigerum
Closteriopsis,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Closteriopsis,Closteriopsis cf acicularis
Closteriopsis acicularis,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Closteriopsis,Closteriopsis acicularis
Closteriopsis longissima,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Closteriopsis,Closteriopsis longissima
Closteriospira lemanensis,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Elakatotrichaceae,Closteriospira,Closteriospira lemanensis
Closterium,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium
Closterium acerosum,SoftAlgae_2012,,4,yes,,No,NI,high,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium acerosum
Closterium acerosum var tumidium,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium acerosum var tumidium
Closterium arcuatum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closterium attenuatum,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium attenuatum
Closterium ehrenbergii,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium ehrenbergii
Closterium gracile,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium gracile
Closterium incurvum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium incurvum
Closterium intermedium,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium intermedium
Closterium kuetzingii,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium kuetzingii
Closterium leibleinii,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium leibleinii
Closterium leiblenii,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closterium littorale,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium littorale
Closterium lunula,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium lunula
Closterium moniliferum,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium moniliferum
Closterium navicula,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium navicula
Closterium nylandicum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium nylandicum
Closterium parvulum,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium parvulum
Closterium parvulum var maius,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium parvulum var maius
Closterium parvum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closterium praelongum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium praelongum
Closterium ralfsii,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closterium ralfsii var hybridum,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium ralfsii var hybridum
Closterium rostratum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium rostratum
Closterium striatum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium,Closterium striatum
Closterium striolatum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium ,Closterium striolatum
Closterium striolatum var borgei,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Closteriaceae,Closterium ,Closterium striolatum var borgei
Cocconeis,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis disculus,Diatom_2012,BN,3,,,,,,,,,NM,,,,BF,Halo,OS,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis fluviatilis,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis neodiminuta,Diatom_2012,BN,3,,,,,,,,,NM,,,,FB,FB,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis neothumensis,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis pediculus,Diatom_2012,BN,4,yes,,,,,,,,NM,NAHON,NAHON,DO_75,BF,Halo,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis placentula,Diatom_2012,BN,4,yes,,,,,,,,NM,NAHON,NAHON,DO_50,FB,FB,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis placentula var euglypta,Diatom_2012,BN,4,yes,,,,,,,,NM,NAHON,NAHON,DO_50,FB,FB,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis placentula var lineata,Diatom_2012,BN,4,yes,,,,,,,,NM,NAHON,NAHON,DO_50,FB,FB,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis pseudolineata,Diatom_2012,BN,4,yes,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis pseudothumensis,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Cocconeis rugosa,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocconeis scutellum,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,
Coelastrum,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,Coelastrum cf astroideum
Coelastrum astroideum,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,Coelastrum astroideum
Coelastrum microporum,SoftAlgae_2012,,4,yes,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,Coelastrum microporum
Coelomoron,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Coelomoron,Coelomoron cf pusillum
Coelomoron pusillum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Coelomoron,Coelomoron pusillum
Coleochaete,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete,Coleochaete cf irregularis
Coleochaete irregularis,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete,Coleochaete irregularis
Coleochaete scutata,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete,Coleochaete scutata
Coleodesmium,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Coleodesmium,Coleodesmium cf wrangelii
Coleodesmium floccosum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleodesmium wrangelii,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Microchaetaceae,Coleodesmium,Coleodesmium wrangelii
Comasiella arcuata,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comasiella arcuata var platydisca,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Comasiella,Comasiella arcuata var platydisca
Compsopogon,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,RD,,No,Yes,,,Rhodophyta,Compsopogonophyceae,Compsopogonales,Compsopogonaceae,Compsopogon,Compsopogon cf caeruleus
Compsopogon caeruleus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,RD,,No,Yes,,,Rhodophyta,Compsopogonophyceae,Compsopogonales,Compsopogonaceae,Compsopogon,Compsopogon caeruleus
Compsopogon chalybeus,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,RD,,No,Yes,,,Rhodophyta,Compsopogonophyceae,Compsopogonales,Compsopogonaceae,Compsopogon,Compsopogon chalybeus
Coscinodiscophyceae,Diatom_2012,,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,,,,
Coscinodiscus,Diatom_2012,P,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,
Cosmarium,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium
Cosmarium abbreviatum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium abbreviatum
Cosmarium angulosum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium binum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium ,Cosmarium binum
Cosmarium bioculatum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium bioculatum
Cosmarium biretum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium biretum var trigibberum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium biretum var trigibberum
Cosmarium brebissonii,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium brebissonii
Cosmarium contractum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium contractum
Cosmarium crenatum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium crenatum
Cosmarium depressum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium granatum,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium granatum
Cosmarium humile,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium impressulum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium imressulum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium imressulum
Cosmarium incertum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium incertum
Cosmarium laeve,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium laeve
Cosmarium porteanum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium portianum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium portianum
Cosmarium praecisum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium praecisum var suecicum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium praecisum var suecicum
Cosmarium punctulatum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium punctulatum
Cosmarium quadrum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium regnellii,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium regnellii
Cosmarium regnellii var minimum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium regnellii var minimum
Cosmarium reniforme,SoftAlgae_2012,,0,,,No,high,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium reniforme
Cosmarium sportella,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium subcostatum,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium subcostatum
Cosmarium subcrenatum,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium subcrenatum
Cosmarium subtumidum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium subtumidum var minutum,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium subtumidum var minutum
Cosmarium turpinii,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmarium turpinii var podolicum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium turpinii var podolicum
Cosmariumeciosum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium speciosum
Cosmariumortella,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmariumortella var subnudum,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CA,,No,,,Yes,Streptophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,Cosmarium sportella var subnudum
Cosmioneis pusilla,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Cosmioneidaceae,Cosmioneis,
Craticula,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Craticula accomoda,Diatom_2012,BN,5,yes,,,,,,,,MM,NHHONO,Heterotroph,DO_10,FB,FB,PS,,PH,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Craticula ambigua,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Craticula buderi,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Craticula cuspidata,Diatom_2012,BN,4,yes,,,,,,,,MM,NAHON,NAHON,DO_50,FB,FB,AM,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Craticula haliphilioides,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craticula halophila,Diatom_2012,BN,4,yes,,,,,,,,MM,NAHON,NAHON,DO_75,B,Halo,AM,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Craticula halophilioides,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Craticula minusculoides,Diatom_2012,BN,5,yes,,,,,,,,MM,NHHONO,Heterotroph,DO_30,FB,FB,AMPS,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Craticula molestiformis,Diatom_2012,BN,5,yes,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Craticula submolesta,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,
Crucigenia,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucigeniella,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Crucigeniella,Crucigeniella cf apiculata
Crucigeniella apiculata,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Crucigeniella,Crucigeniella apiculata
Cryptomonadaceae,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CR,,No,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,,Cryptomonadaceae 1
Cryptomonas,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CR,,No,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,Cryptomonas cf anomala
Cryptomonas anomala,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CR,,No,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,Cryptomonas anomala
Cryptomonas erosa,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CR,,No,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,Cryptomonas erosa
Cryptomonas ovata,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CR,,No,,,,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,Cryptomonas ovata
Cryptophyta,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CR,,No,,,,Cryptophyta,,,,,Cryptophyta 1
Ctenophora,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Ctenophora,
Ctenophora pulchella,Diatom_2012,BN,4,yes,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Ctenophora,
Cyanobium,SoftAlgae_2012,,2,,yes,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Cyanobium,Cyanobium cf diatomicola
Cyanobium diatomicola,SoftAlgae_2012,,2,,yes,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Cyanobium,Cyanobium diatomicola
Cyanodermatium,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanodermatium,Cyanodermatium cf fluminense
Cyanodermatium fluminense,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanodermatium,Cyanodermatium fluminense
Cyanophanon,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Cyanophanon,Cyanophanon cf mirabile
Cyanophanon minus,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanophanon mirabile,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Cyanophanon,Cyanophanon mirabile
Cyanophyceae,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,,,,Cyanophyceae 1
Cyanostylon,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanostylon,Cyanostylon cf microcystoides
Cyanostylon microcystoides,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Entophysalidaceae,Cyanostylon,Cyanostylon microcystoides
Cyanothece,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece,Cyanothece cf aeruginosa
Cyanothece aeruginosa,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece,Cyanothece aeruginosa
Cyanothece halobia,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Chroococcales,Cyanobacteriaceae,Cyanothece,Cyanothece halobia
Cyclostephanos,Diatom_2012,P,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos,
Cyclostephanos costatilimbus,Diatom_2012,P,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Cyclostephanos,
